food_item_name,calories_per_plate
Tangy Mexican Pancake,652
Sweet Turkish Pizza,619
Zesty Spanish Pasta,324
Creamy French Pasta,575
Spicy Thai Pasta,888
Icy Japanese Pancake,741
Rich Middle Eastern Pasta,775
Herbed Argentinian Risotto,313
Marinated Vietnamese Dumplings,383
Crispy Brazilian Paella,154
Fresh Indian Sushi,298
Glazed Chinese Steak,215
Fresh Moroccan Tacos,915
Glazed Middle Eastern Soup,252
Marinated Mediterranean Pizza,801
Rich Moroccan Sushi,964
Fresh Brazilian Sushi,585
Rustic Argentinian Wrap,609
Spicy Italian Paella,280
Zesty Mexican Pasta,263
Grilled Caribbean Waffle,786
Fresh Indian Pancake,144
Herbed Turkish Dumplings,155
Fried Caribbean Grill,760
Creamy Turkish Sandwich,472
Icy Japanese Salad,391
Fried Moroccan Pasta,314
Smoky Chinese Biryani,545
Savory Greek Biryani,357
Fried Mexican Pancake,442
Glazed Mexican Grill,731
Savory Moroccan Soup,924
Fried Moroccan Dumplings,876
Smoky Japanese Tacos,564
Grilled Mexican Biryani,144
Savory Moroccan Dumplings,206
Herbed Middle Eastern Sushi,858
Grilled Argentinian Lasagna,153
Grilled French Steak,650
Sweet American Dumplings,280
Rich Thai Salad,261
Icy Thai Burger,904
Savory Spanish Risotto,129
Creamy Argentinian Salad,596
Crispy Korean Biryani,627
Roasted Greek Soup,218
Savory Middle Eastern Curry,172
Rustic Lebanese Sandwich,340
Smoky Vietnamese Biryani,838
Sweet Thai Waffle,555
Roasted Thai Burger,706
Roasted Chinese Biryani,693
Rustic Korean Risotto,433
Icy Argentinian Salad,529
Steamed Korean Sushi,303
Creamy Moroccan Biryani,865
Glazed Turkish Sushi,793
Zesty French Curry,433
Creamy Vietnamese Curry,335
Roasted Thai Risotto,897
Creamy Korean Curry,212
Smoky Moroccan Grill,433
Fried Korean Dumplings,333
Rustic Turkish Salad,200
Herbed French Curry,342
Zesty Korean Pizza,855
Icy Italian Waffle,522
Icy Mexican Steak,990
Steamed Middle Eastern Wrap,304
Creamy Caribbean Risotto,484
Spicy Thai Grill,325
Steamed American Tacos,175
Icy Chinese Wrap,582
Tangy French Burger,699
Steamed Mexican Wrap,596
Creamy Brazilian Salad,155
Zesty Indian Sushi,546
Smoky Greek Soup,248
Rich Thai Sandwich,321
Smoky Thai Grill,724
Spicy Mediterranean Lasagna,565
Herbed Brazilian Salad,282
Hot Argentinian Wrap,496
Spicy Korean Steak,482
Creamy Japanese Risotto,239
Hot Caribbean Risotto,568
Tangy American Pasta,837
Fresh Mediterranean Curry,298
Grilled Japanese Sushi,747
Herbed Vietnamese Grill,467
Rustic Lebanese Grill,376
Rich Middle Eastern BBQ,307
Sweet Japanese Biryani,443
Sweet Turkish Pasta,230
Smoky Indian Sandwich,132
Spicy Japanese Burger,808
Icy Middle Eastern Tacos,682
Grilled Indian Soup,161
Tangy Vietnamese Waffle,387
Herbed Lebanese Dumplings,239
Creamy Argentinian Burger,213
Roasted Indian Salad,972
Sweet Argentinian Wrap,576
Rustic Mexican BBQ,569
Hot American Pancake,528
Icy Indian Lasagna,275
Spicy Lebanese Sandwich,878
Sweet Caribbean Paella,451
Fresh Turkish Paella,325
Smoky Brazilian Pasta,402
Rich Greek Pizza,718
Icy Turkish BBQ,260
Glazed Turkish Risotto,908
Fried American Dumplings,913
Savory Indian Burger,753
Zesty Vietnamese Lasagna,726
Tangy Mediterranean Sandwich,274
Rustic Turkish Pancake,691
Rustic Vietnamese BBQ,666
Smoky Greek Lasagna,975
Fresh Japanese Sushi,335
Fresh Middle Eastern Waffle,188
Marinated Indian Sushi,521
Zesty Spanish Pizza,977
Fried Italian Pizza,634
Glazed Vietnamese Sandwich,600
Spicy Middle Eastern Sushi,982
Icy Vietnamese Paella,321
Icy Mediterranean Grill,705
Smoky Vietnamese Lasagna,584
Roasted Moroccan Salad,957
Tangy Greek Tacos,573
Fresh Moroccan Risotto,385
Glazed Lebanese Waffle,114
Marinated Moroccan Paella,847
Creamy French Wrap,538
Rich Spanish Wrap,853
Herbed Caribbean Pizza,993
Hot French Paella,352
Smoky Lebanese Steak,353
Herbed Italian Dumplings,435
Crispy Chinese Pizza,544
Fresh Lebanese Dumplings,693
Icy Lebanese Pancake,327
Savory Spanish Sandwich,705
Icy Vietnamese Risotto,252
Rustic Moroccan Pancake,687
Tangy Vietnamese Burger,105
Hot Brazilian Curry,527
Roasted Caribbean Paella,145
Steamed Korean Paella,141
Roasted Spanish Grill,581
Crispy Spanish Pasta,851
Steamed Spanish Curry,887
Creamy Greek Soup,616
Spicy Middle Eastern Grill,134
Icy Argentinian Tacos,535
Steamed Turkish Dumplings,643
Sweet Thai Pasta,503
Crispy Caribbean Risotto,590
Rich Turkish Sandwich,929
Zesty Chinese Risotto,917
Tangy Turkish BBQ,813
Spicy Indian Burger,941
Savory Caribbean Soup,200
Steamed Indian Wrap,563
Rich Italian Soup,607
Marinated Mexican Sandwich,346
Crispy Thai BBQ,185
Savory American Curry,671
Hot Moroccan Sushi,871
Tangy Vietnamese Pancake,112
Tangy American Pizza,809
Fried French Salad,849
Roasted Mexican Waffle,516
Herbed French Burger,323
Fried Greek Sushi,235
Fried Korean Pasta,467
Zesty Vietnamese Steak,402
Fresh Lebanese Pizza,344
Creamy Middle Eastern Curry,763
Crispy Argentinian Burger,192
Icy Thai Wrap,116
Hot Japanese Soup,591
Zesty Brazilian Salad,785
Zesty Caribbean Soup,412
Herbed Japanese Burger,265
Rustic Indian Tacos,820
Sweet Mediterranean Pizza,570
Tangy Thai BBQ,978
Smoky Mediterranean Soup,684
Rich Italian Dumplings,865
Steamed Korean Pizza,697
Hot Italian Burger,124
Smoky Greek Burger,565
Roasted Caribbean Wrap,574
Savory Middle Eastern Soup,890
Rustic Lebanese Wrap,241
Savory Moroccan Curry,995
Grilled Argentinian Grill,820
Fresh French Waffle,515
Icy American Pancake,289
Fried Moroccan Soup,908
Crispy French Dumplings,992
Crispy Chinese BBQ,479
Spicy Thai Tacos,741
Rich American Lasagna,575
Spicy Korean Salad,820
Rustic Thai Sushi,748
Rustic Thai Soup,101
Tangy Turkish Salad,981
Spicy Vietnamese Grill,742
Fresh Greek Pasta,172
Hot French Sushi,494
Icy Lebanese Burger,807
Tangy Italian Burger,440
Steamed Brazilian Burger,643
Creamy Mexican Biryani,133
Zesty Thai Burger,403
Rich Middle Eastern Lasagna,536
Tangy Indian Pizza,870
Roasted Thai Sushi,376
Crispy Caribbean Pizza,814
Grilled Italian Curry,727
Sweet Thai Pizza,655
Herbed Brazilian Pancake,689
Marinated Korean Wrap,913
Grilled Chinese Risotto,312
Rustic American Pancake,906
Marinated Argentinian Dumplings,801
Spicy Chinese Sandwich,182
Zesty Indian Burger,735
Fresh Mediterranean Burger,443
Savory Italian Burger,853
Crispy American Pasta,156
Herbed Argentinian Lasagna,627
Fried Caribbean Pancake,790
Zesty Middle Eastern Sushi,472
Rustic Spanish Sandwich,152
Rich Indian Sushi,213
Glazed Spanish Dumplings,492
Smoky Italian Biryani,474
Glazed Spanish Biryani,576
Fried Middle Eastern Dumplings,733
Tangy Caribbean Burger,141
Zesty Indian Wrap,474
Crispy Japanese Pancake,475
Creamy Thai Waffle,279
Spicy Argentinian Wrap,763
Zesty Japanese Soup,672
Marinated Turkish Sandwich,821
Zesty Middle Eastern Pizza,168
Hot Indian Burger,674
Tangy Middle Eastern Pizza,826
Grilled Korean Lasagna,892
Glazed Turkish Curry,309
Icy Chinese Sushi,241
Rich Lebanese Wrap,442
Crispy French Risotto,344
Grilled Indian Sushi,652
Grilled Japanese Lasagna,216
Icy Mediterranean BBQ,764
Tangy Argentinian Grill,589
Roasted Moroccan Sandwich,855
Spicy Argentinian Salad,870
Icy American Tacos,694
Sweet Italian Steak,992
Rich Caribbean Grill,819
Roasted Moroccan Sushi,314
Rich Moroccan Waffle,871
Roasted Greek Lasagna,862
Roasted Argentinian Grill,879
Tangy Brazilian Pizza,330
Rich Spanish Waffle,428
Herbed French Biryani,461
Rustic American Lasagna,373
Zesty Italian Paella,615
Rustic Turkish Dumplings,796
Steamed Moroccan Curry,533
Crispy Indian Biryani,383
Rustic Turkish Risotto,155
Rich Japanese Tacos,164
Fried Brazilian Salad,481
Glazed French Dumplings,453
Crispy Moroccan Waffle,563
Savory American Dumplings,597
Fresh Mexican Paella,613
Grilled Lebanese Waffle,639
Herbed Middle Eastern Wrap,949
Fried French Paella,225
Spicy Mediterranean Soup,581
Crispy Chinese Paella,826
Marinated Japanese Waffle,644
Zesty Lebanese Pancake,794
Marinated American Curry,945
Fried Greek Grill,645
Sweet Caribbean Steak,399
Sweet Caribbean Salad,562
Hot Chinese Grill,735
Creamy Greek Grill,476
Spicy Vietnamese Tacos,919
Glazed Mexican Lasagna,789
Hot Indian Steak,809
Grilled Greek Dumplings,928
Rich French Pancake,167
Zesty Vietnamese Pancake,292
Smoky Middle Eastern Biryani,568
Creamy Lebanese Grill,189
Herbed Korean Sushi,182
Zesty Thai Sushi,500
Tangy Mexican Wrap,283
Fried Mediterranean Risotto,395
Glazed Brazilian Pancake,178
Marinated Thai Biryani,211
Creamy Mediterranean Soup,268
Hot Italian Curry,382
Fresh Lebanese Burger,214
Marinated Mediterranean Steak,813
Rich Moroccan Pasta,251
Roasted Caribbean Steak,608
Smoky Mexican Dumplings,254
Crispy Chinese Pasta,995
Crispy Moroccan Pizza,309
Tangy Indian Lasagna,633
Icy Argentinian Biryani,742
Smoky American Tacos,123
Grilled Lebanese Curry,400
Creamy Thai Wrap,526
Steamed Argentinian Salad,798
Roasted Vietnamese Grill,654
Hot French Waffle,235
Savory Thai Risotto,585
Sweet Italian Soup,455
Spicy Korean Grill,530
Sweet Moroccan BBQ,554
Sweet Italian Wrap,855
Zesty American Risotto,760
Fried Italian Sandwich,121
Steamed Turkish Lasagna,398
Rustic Argentinian Tacos,293
Glazed Mexican BBQ,164
Fresh Turkish Soup,122
Tangy Thai Lasagna,992
Icy Japanese BBQ,921
Crispy Lebanese Risotto,337
Grilled American Burger,954
Sweet Argentinian Dumplings,632
Rich American Dumplings,760
Glazed Argentinian Risotto,443
Herbed Vietnamese Burger,521
Hot French Steak,692
Glazed Argentinian Salad,451
Roasted Indian Pizza,771
Savory Korean Biryani,761
Fried French Steak,905
Creamy Thai Soup,434
Tangy Caribbean Biryani,597
Hot American Burger,707
Steamed Korean Biryani,781
Zesty Vietnamese Waffle,813
Spicy French Lasagna,642
Fresh Moroccan Curry,962
Sweet Turkish Risotto,661
Grilled Greek Wrap,555
Tangy Argentinian Soup,568
Icy American Biryani,411
Roasted Spanish BBQ,680
Grilled Brazilian Sushi,235
Rich Italian Wrap,908
Grilled Argentinian Pizza,413
Tangy French Pancake,275
Hot American Salad,908
Smoky Middle Eastern Pizza,366
Rustic Moroccan Sushi,332
Rich Greek Steak,595
Tangy Italian Pizza,480
Crispy Korean Paella,395
Smoky French Burger,888
Rustic Vietnamese Pancake,965
Savory Indian Paella,148
Rustic Japanese Dumplings,251
Herbed Middle Eastern Pasta,461
Sweet Japanese Pizza,391
Marinated Thai Paella,566
Icy Brazilian Soup,270
Crispy Italian Burger,733
Spicy Turkish Curry,264
Crispy Italian Risotto,828
Crispy Mexican Curry,648
Herbed Mediterranean Pancake,392
Grilled Mexican Wrap,286
Icy Argentinian Sushi,279
Roasted Greek Sushi,959
Fried Thai Pizza,825
Marinated Caribbean Paella,809
Crispy Moroccan Wrap,782
Glazed Japanese Steak,913
Savory Caribbean Sushi,257
Smoky Turkish BBQ,265
Glazed American Grill,343
Steamed American Pancake,219
Sweet Vietnamese Dumplings,142
Fresh Mexican Salad,424
Rich Thai Curry,688
Smoky Lebanese Wrap,229
Rustic Moroccan Biryani,551
Spicy Moroccan Tacos,366
Hot Chinese Dumplings,478
Roasted Korean Tacos,288
Savory Thai Burger,310
Roasted Thai Salad,675
Marinated Mexican Grill,824
Steamed Korean Salad,135
Crispy Italian Tacos,781
Creamy Chinese Curry,424
Savory Japanese Waffle,452
Grilled Argentinian Tacos,251
Creamy Mediterranean Biryani,481
Sweet Japanese Risotto,559
Grilled Italian Grill,652
Glazed Spanish Pasta,266
Sweet Lebanese Soup,646
Spicy Korean Sushi,408
Creamy Caribbean Soup,224
Rich Mexican Dumplings,125
Roasted Caribbean Salad,514
Fresh Spanish Burger,611
Spicy Lebanese Wrap,886
Fried American Tacos,248
Rustic Greek Grill,569
Smoky Turkish Biryani,427
Fresh Indian Lasagna,259
Rich American Soup,104
Tangy Mediterranean Soup,856
Rich Greek Biryani,659
Grilled Lebanese Tacos,619
Smoky Argentinian Risotto,439
Smoky Thai Sandwich,762
Glazed Mediterranean Lasagna,822
Marinated Brazilian Pasta,402
Smoky Mediterranean Paella,585
Tangy Greek Pasta,396
Steamed Indian Pizza,872
Grilled Chinese Curry,687
Grilled Indian Paella,782
Savory Argentinian Wrap,250
Savory Vietnamese Grill,918
Grilled Middle Eastern Lasagna,678
Grilled Middle Eastern Sandwich,846
Steamed Lebanese Biryani,552
Zesty Argentinian Tacos,446
Rich Greek Wrap,805
Grilled Japanese Waffle,215
Smoky Spanish Dumplings,849
Spicy Vietnamese Burger,590
Spicy Argentinian Paella,141
Glazed Caribbean Steak,242
Creamy Argentinian Dumplings,794
Savory Japanese BBQ,664
Glazed Mediterranean BBQ,219
Smoky Spanish Steak,415
Savory Mediterranean Biryani,125
Icy Chinese Biryani,511
Hot American Curry,732
Herbed Indian Sushi,961
Rustic Caribbean Burger,325
Rustic Vietnamese Sushi,556
Smoky Middle Eastern Burger,465
Icy Italian Curry,194
Icy Chinese BBQ,434
Fried Vietnamese Burger,156
Creamy Mexican Burger,722
Spicy Brazilian Grill,756
Spicy Thai Risotto,299
Savory Vietnamese Wrap,697
Smoky Caribbean Pizza,639
Herbed French Steak,327
Hot Brazilian Lasagna,900
Glazed Korean Pasta,885
Crispy Chinese Wrap,384
Crispy Chinese Grill,300
Roasted American Waffle,123
Hot Turkish BBQ,185
Hot Korean Lasagna,651
Creamy French Paella,969
Grilled Caribbean Dumplings,556
Hot Mediterranean Grill,793
Smoky Moroccan Dumplings,787
Rich Middle Eastern Sushi,189
Creamy Greek Pizza,624
Spicy Brazilian Wrap,503
Grilled Middle Eastern Pancake,299
Glazed American Paella,602
Smoky Mediterranean Sandwich,425
Glazed Japanese Biryani,717
Creamy Greek Burger,719
Grilled Mediterranean Tacos,623
Grilled French Tacos,157
Glazed Lebanese Lasagna,782
Marinated Indian Lasagna,469
Fresh Argentinian Pasta,507
Fried Japanese Dumplings,251
Zesty Japanese Risotto,833
Spicy French Waffle,974
Herbed Caribbean Salad,537
Rich Chinese Pancake,478
Hot Chinese Curry,495
Glazed Lebanese Pancake,481
Savory Vietnamese Pizza,112
Hot Greek Waffle,391
Zesty Vietnamese Soup,453
Rich Brazilian Pasta,459
Grilled Moroccan Wrap,415
Rich American Risotto,556
Fried Chinese Sushi,995
Rustic Vietnamese Pasta,674
Icy Japanese Waffle,189
Icy American Lasagna,320
Rich Lebanese Curry,845
Hot Indian Salad,554
Savory Spanish Grill,859
Grilled Korean Biryani,525
Glazed Mexican Dumplings,922
Tangy Turkish Pasta,553
Savory Mexican Wrap,395
Herbed Mediterranean Soup,267
Fresh Vietnamese Waffle,925
Spicy Japanese Sandwich,845
Crispy Turkish Dumplings,534
Grilled Greek Paella,846
Fresh Japanese Pancake,524
Fried Indian Sandwich,242
Crispy Italian Pasta,955
Rustic Mexican Sushi,701
Savory French Sandwich,712
Crispy Middle Eastern Biryani,188
Spicy Turkish Paella,247
Rustic Lebanese Biryani,312
Rustic Italian Salad,410
Zesty Middle Eastern BBQ,586
Smoky Italian Wrap,988
Rich Spanish Risotto,637
Rustic Italian Grill,443
Creamy French Curry,167
Hot Brazilian Tacos,704
Hot Brazilian Pancake,874
Tangy Mediterranean Paella,484
Glazed Brazilian Dumplings,190
Spicy Thai Biryani,106
Spicy Turkish Pizza,519
Glazed Vietnamese Biryani,754
Roasted Greek Sandwich,379
Rich Thai Burger,524
Smoky Indian Waffle,279
Smoky Lebanese BBQ,669
Grilled Greek Curry,573
Glazed Mediterranean Tacos,827
Zesty Mediterranean Lasagna,681
Spicy Turkish Grill,873
Roasted Vietnamese Lasagna,240
Crispy Chinese Sushi,304
Tangy Turkish Tacos,290
Creamy Korean BBQ,952
Rich American Grill,490
Crispy Chinese Curry,396
Rich Vietnamese Pasta,667
Hot Mexican Pancake,602
Hot Greek Soup,143
Icy Japanese Burger,942
Zesty Spanish Tacos,946
Icy Thai Curry,409
Glazed Indian BBQ,954
Herbed Brazilian Biryani,699
Smoky Moroccan Soup,411
Zesty Japanese Pasta,605
Zesty Chinese Steak,672
Hot Indian BBQ,857
Marinated Indian BBQ,574
Steamed Turkish BBQ,329
Glazed Turkish Soup,127
Sweet Indian Paella,910
Fried Greek Salad,102
Rich Thai Tacos,257
Herbed Mediterranean Sandwich,368
Rustic Thai Wrap,407
Grilled Korean Pizza,755
Rich Middle Eastern Sandwich,954
Fresh Chinese Lasagna,751
Tangy Turkish Steak,583
Crispy Lebanese Pasta,227
Rich Middle Eastern Burger,769
Savory Moroccan BBQ,781
Spicy Greek Dumplings,394
Spicy Mediterranean Biryani,527
Savory Spanish Pasta,283
Herbed Argentinian Tacos,603
Zesty Mediterranean Soup,804
Icy Lebanese Pizza,760
Roasted Argentinian Biryani,350
Rustic Spanish Curry,129
Fresh Greek Salad,222
Smoky Caribbean BBQ,883
Zesty Moroccan Curry,383
Zesty American Dumplings,604
Roasted Turkish Soup,168
Crispy Mediterranean BBQ,713
Savory Mexican Steak,863
Crispy American Biryani,470
Fresh Greek Steak,695
Hot Mediterranean Soup,592
Fresh Middle Eastern Pizza,679
Steamed Chinese Waffle,546
Rustic Indian BBQ,989
Spicy French Sushi,364
Smoky American BBQ,743
Spicy Lebanese Pancake,802
Marinated Chinese Tacos,587
Tangy Brazilian Pancake,810
Sweet Argentinian Pancake,937
Icy Chinese Burger,222
Savory American Lasagna,482
Spicy Greek Sandwich,624
Steamed Thai Waffle,850
Sweet Korean Pizza,689
Herbed Caribbean Lasagna,117
Tangy Vietnamese Lasagna,965
Hot Mexican Steak,365
Herbed Mexican Waffle,266
Tangy Spanish Curry,695
Hot American Risotto,159
Spicy Mexican Sandwich,249
Spicy Turkish Tacos,427
Spicy Mediterranean Wrap,572
Roasted Italian Steak,999
Creamy Caribbean Burger,809
Grilled Greek Grill,238
Fresh Japanese Wrap,465
Rustic Middle Eastern Soup,267
Tangy Middle Eastern Lasagna,154
Zesty Brazilian Burger,379
Smoky Spanish Salad,469
Rustic Korean Lasagna,529
Steamed Turkish Sandwich,751
Smoky Chinese Steak,464
Sweet Middle Eastern Pancake,149
Crispy Turkish Waffle,396
Steamed Argentinian Tacos,398
Grilled Brazilian Salad,642
Rustic Indian Steak,754
Savory Argentinian Waffle,178
Grilled Chinese Steak,626
Rich Chinese Dumplings,298
Sweet Indian Sandwich,884
Zesty Korean Paella,743
Marinated Middle Eastern Steak,287
Steamed Middle Eastern Sandwich,883
Spicy Chinese Waffle,196
Rich Korean Dumplings,713
Creamy Spanish Soup,870
Roasted Italian Pizza,271
Crispy Mediterranean Waffle,656
Marinated Spanish Grill,430
Fresh Japanese Curry,993
Spicy Brazilian Pancake,423
Herbed Brazilian Dumplings,946
Glazed Argentinian Burger,965
Marinated Mediterranean Tacos,801
Glazed Spanish Sandwich,919
Steamed Japanese Pasta,408
Roasted American Soup,377
Crispy Indian Pizza,801
Zesty Middle Eastern Steak,814
Sweet Moroccan Paella,804
Fresh Mediterranean Waffle,471
Hot Vietnamese Pizza,198
Marinated American Burger,647
Hot Lebanese Soup,693
Glazed Mexican Pasta,460
Fried Middle Eastern Burger,943
Crispy Chinese Biryani,247
Savory Chinese Paella,113
Grilled Moroccan Sushi,240
Rustic Caribbean Pasta,630
Crispy Indian Pancake,388
Rich Brazilian Pancake,481
Savory Greek Burger,897
Marinated Moroccan Salad,596
Icy Moroccan Sushi,521
Herbed Lebanese Burger,448
Grilled Vietnamese Pasta,266
Tangy American Steak,204
Herbed Thai Risotto,323
Roasted Mexican Sushi,258
Hot French Soup,615
Grilled American Biryani,326
Fried Argentinian Grill,951
Creamy Moroccan Wrap,292
Hot Middle Eastern Sandwich,914
Fresh Turkish Curry,672
Steamed Italian Curry,728
Smoky Spanish Grill,806
Zesty Brazilian Pancake,951
Fried Mexican Dumplings,638
Rich Korean Curry,966
Fresh Caribbean Pasta,644
Tangy Lebanese Pizza,829
Glazed Middle Eastern Pasta,664
Herbed Brazilian Pizza,819
Spicy Korean Pancake,874
Roasted Argentinian Salad,921
Rich Lebanese Burger,216
Tangy French Steak,527
Rustic Vietnamese Soup,571
Grilled Middle Eastern Wrap,178
Sweet Argentinian Curry,219
Icy Lebanese BBQ,938
Steamed Vietnamese Tacos,234
Roasted Japanese Steak,117
Herbed Thai Dumplings,591
Herbed Vietnamese Risotto,456
Savory Vietnamese Risotto,419
Hot Spanish Soup,807
Sweet Greek Sushi,471
Fried Argentinian Sushi,242
Tangy Vietnamese Steak,936
Zesty Italian Sandwich,552
Steamed Greek Pancake,711
Creamy Greek Pasta,635
Creamy French Pancake,881
Savory Caribbean Grill,450
Smoky Greek Pasta,276
Rustic French Steak,826
Creamy Mexican Wrap,411
Grilled Spanish Curry,129
Grilled Greek Salad,862
Creamy American BBQ,934
Herbed Korean Burger,221
Fresh Korean Pasta,327
Creamy Italian BBQ,231
Sweet Greek Salad,977
Zesty French Pizza,810
Spicy Japanese Waffle,245
Rustic Turkish Steak,804
Grilled Korean Risotto,332
Savory Greek BBQ,414
Spicy Spanish Dumplings,228
Tangy Japanese Risotto,314
Smoky Japanese Paella,233
Fresh Middle Eastern BBQ,180
Herbed Chinese Risotto,535
Crispy Caribbean Curry,807
Smoky Spanish BBQ,881
Tangy Argentinian Curry,902
Smoky Greek Wrap,214
Grilled Caribbean Burger,179
Creamy Indian Waffle,119
Fried Middle Eastern Tacos,893
Creamy Middle Eastern Lasagna,595
Sweet Mexican Biryani,875
Steamed Middle Eastern Salad,541
Icy Argentinian Burger,143
Zesty Spanish Soup,301
Marinated Spanish Sandwich,210
Spicy Brazilian Paella,133
Glazed Chinese Pasta,912
Icy Chinese Salad,775
Spicy French BBQ,625
Herbed Mediterranean Biryani,707
Rustic Thai Sandwich,160
Sweet Greek Wrap,580
Rustic Caribbean Pizza,221
Icy Japanese Curry,359
Spicy Greek Burger,144
Herbed Argentinian Dumplings,167
Creamy Turkish Sushi,408
Marinated Greek Sandwich,783
Steamed Moroccan Steak,110
Icy Korean Sushi,872
Glazed Turkish Dumplings,198
Hot Indian Lasagna,901
Fresh Argentinian Risotto,226
Crispy Brazilian Tacos,716
Crispy Turkish Lasagna,310
Icy French Sandwich,701
Glazed Turkish Biryani,304
Tangy Caribbean Steak,289
Fried Middle Eastern Wrap,786
Savory French Pasta,459
Savory Moroccan Biryani,129
Spicy Brazilian Waffle,192
Steamed Korean Burger,249
Hot Greek Wrap,966
Fresh Indian Waffle,864
Sweet Greek Sandwich,384
Tangy Spanish Wrap,693
Tangy Chinese Waffle,456
Grilled French Pizza,460
Creamy Japanese Steak,264
Savory Brazilian Pancake,975
Zesty Lebanese Salad,612
Fresh Thai Wrap,899
Spicy Japanese Lasagna,846
Spicy Mediterranean Sandwich,727
Icy Caribbean Wrap,347
Crispy Indian Burger,617
Crispy Turkish Tacos,683
Hot Caribbean Pizza,169
Roasted Middle Eastern Tacos,201
Rich Indian Salad,939
Rustic Greek Wrap,692
Steamed Argentinian Sushi,881
Spicy Turkish Steak,114
Roasted Argentinian Pizza,641
Fried Moroccan Pizza,322
Spicy Italian Curry,832
Steamed Brazilian BBQ,296
Rich Mediterranean Dumplings,388
Creamy American Biryani,275
Grilled Indian Sandwich,872
Herbed Vietnamese Curry,650
Smoky Greek Pizza,104
Steamed Caribbean Steak,842
Savory Spanish Dumplings,201
Fried Vietnamese Paella,319
Herbed Mexican Dumplings,616
Fresh Japanese Salad,971
Herbed Spanish Pizza,824
Savory Greek Pizza,586
Fresh Vietnamese Pancake,475
Roasted Korean Pancake,814
Herbed Middle Eastern Pancake,703
Rich American BBQ,289
Creamy Lebanese Biryani,550
Steamed Mediterranean Sushi,789
Icy Japanese Wrap,209
Roasted Lebanese Curry,285
Fresh Indian Burger,954
Herbed French Sushi,463
Roasted French Biryani,488
Fresh Caribbean Soup,534
Icy Indian Wrap,319
Rich Brazilian Sandwich,626
Fresh Indian Risotto,333
Creamy American Pancake,517
Roasted Greek Pancake,215
Fried Moroccan Waffle,879
Sweet Vietnamese Burger,421
Rich Lebanese Pizza,226
Sweet Japanese Lasagna,577
Icy Turkish Steak,212
Glazed American Salad,632
Icy Vietnamese Sushi,239
Roasted Brazilian Dumplings,607
Marinated Argentinian Pasta,880
Herbed Lebanese Tacos,469
Savory Greek Soup,821
Sweet Caribbean Tacos,395
Smoky Mexican Pasta,670
Spicy Mediterranean Sushi,839
Tangy Japanese Salad,141
Herbed Lebanese Waffle,184
Steamed Italian Burger,435
Icy Japanese Steak,605
Marinated Mediterranean BBQ,218
Savory French Wrap,494
Fresh Chinese Dumplings,390
Roasted Indian Grill,567
Fresh Argentinian Curry,714
Herbed Japanese Risotto,853
Sweet Caribbean Curry,419
Zesty Turkish Soup,803
Crispy Thai Pancake,961
Crispy Indian Tacos,554
Roasted American Lasagna,331
Fried French Grill,667
Sweet Korean Curry,517
Smoky Italian Dumplings,397
Herbed Thai Salad,975
Rich Greek Paella,538
